index,category,question,example_answer,marking_scheme
10,japanese,"以下の文書には文法的に不適切な箇所・誤字脱字・表記揺れ・変換ミスなどがあります。それらを修正したものを返答してください。修正後の文書のみを返答してください。

当ホテル周辺のおすすめのの観光地をご案内します。
・ふたこぶ山ハーブ園（当ホテルより1.5km）：四季折々のハーブを見て楽のしめます。ハーブ料理を食べられるレストランもあります。
・夢の島水族館（当ホテルより1.9k）：毎日開催のアシカショーは、ファミリーでお楽しみくださることができます
・滝川温泉（当ホテルより3.6km）室町時代から知られる秘湯です。船室は炭酸泉で、疲労回復の効果があります。温泉街の散策も楽しみも一つです。
疎にオタにも、多くの名所・旧跡が当ホテル周辺に点在しています。","当ホテル周辺のおすすめの観光地をご案内します。
・ふたこぶ山ハーブ園（当ホテルより1.5km）：四季折々のハーブを見て楽しめます。ハーブ料理を食べられるレストランもあります。
・夢の島水族館（当ホテルより1.9km）：毎日開催のアシカショーは、ファミリーでお楽しみいただくことができます。
・滝川温泉（当ホテルより3.6km）：室町時代から知られる秘湯です。泉質は炭酸泉で、疲労回復の効果があります。温泉街の散策も楽しみの一つです。
その他にも、多くの名所・旧跡が当ホテル周辺に点在しています。","- 問題の趣旨と全く関係ないことを回答している場合：1点
- 問題の趣旨には合致している場合：5点をベースラインとして、以下の要領で減点してください
  - 「正解例」と異なっている箇所を列挙してください。それぞれについて、それが「正解例」より劣っている場合には、1箇所につき0.5点減点してください"
11,japanese,"次の文章の誤字脱字を修正してください

オペレーター: こんにちは、山内コールセンターの田中です。どういったご用件でしょうか？
お客様: あ、もしもし、先週注文した商品がまだ届いてないんですが。
オペレーター: 申し訳ございません。ご注文番号をお持ちでしょうか？
お客様: はい、5784です。
オペレーター: 角煮いたしますので、証書お待ちください。
オペレーター: お待たせいたしました。確認したところ、商品は機能発送されております。父ちゃんまでもう少々お待ちいただけますか？
お客様: わかりました。ありがとうございます。","オペレーター: こんにちは、山内コールセンターの田中です。どういったご用件でしょうか？
お客様: あ、もしもし、先週注文した商品がまだ届いてないんですが。
オペレーター: 申し訳ございません。ご注文番号をお持ちでしょうか？
お客様: はい、5784です。
オペレーター: 確認いたしますので、少々お待ちください。
オペレーター: お待たせいたしました。確認したところ、商品は昨日発送されております。到着までもう少々お待ちいただけますか？
お客様: わかりました。ありがとうございます。","- 問題の趣旨と全く関係ないことを回答している場合：1点
- 問題の趣旨には合致している場合：5点をベースラインとして、以下の要領で減点してください
  - 「正解例」と異なっている箇所を列挙してください。それぞれについて、それが「正解例」より劣っている場合には、1箇所につき1点減点してください"
12,japanese,"与えられた文章中の漢字に読み仮名を括弧書きで振ってください。以下の例のようにお願いします。
（例題）東京都北区の今日の天気は晴れです。
（回答）東京都（とうきょうと）北区（きたく）の今日（きょう）の天気（てんき）は晴（は）れです。

佐藤花子です。住所は大阪府大阪市中央区難波112です。",佐藤花子（さとうはなこ）です。住所（じゅうしょ）は大阪府（おおさかふ）大阪市（おおさかし）中央区（ちゅうおうく）難波（なんば）112です。,"- 問題の趣旨と全く関係ないことを回答している場合：1点
- 問題の趣旨には合致している場合：5点をベースラインとして、以下の要領で減点してください
  - 「正解例」と異なっている箇所を列挙してください。それぞれについて、それが「正解例」より劣っている場合には、1箇所につき1点減点してください"
13,japanese,"以下の文章には曖昧な点があります。どのように曖昧であるかを指摘して、曖昧さを解消する修正案を2通り書いてください。いずれの修正案も「料金プランBは」で始めてください。

料金プランBは、料金プランAのように「あんしんサポートサービス」がついていないプランとなります。","与えられた文章では、料金プランAに「あんしんサポートサービス」がついているか否かが曖昧です。例えば、以下のように修正することで曖昧性を解消できます。

- 料金プランAに「あんしんサポートサービス」がついている場合
    - 料金プランBは、料金プランAとは異なり、「あんしんサポートサービス」無しのプランとなります。
- 料金プランAに「あんしんサポートサービス」がついていない場合
    - 料金プランBは、料金プランAと同様に、「あんしんサポートサービス」無しのプランとなります。","- 曖昧な点を「正解例」どおりに指摘できている場合
  - 修正案がいずれも、曖昧性を解消できており誤字脱字を含まない場合：5点
  - 修正案の片方のみが、曖昧性を解消できており誤字脱字を含まない場合：4点
  - 修正案のいずれも、曖昧性を解消できていないか誤字脱字を含む場合：3点
- 曖昧な点を「正解例」どおりに指摘できていない場合
  - 指示には従って何かしらの示唆を出している場合：2点
  - 上記以外：1点"
14,japanese,"以下の文章を読み、曖昧な表現（文章の意味が一通りに定まらない箇所）を3箇所指摘してください。

--------

秋の収穫祭

日時: 2024年10月15日（火）午前10時～午後4時
場所: 田中農園 特設会場

この度、田中農園では「秋の収穫祭」を開催いたします。多くの方々にご参加いただき、楽しいひとときを過ごしていただきたいと思っております。以下、収穫祭の詳細についてご案内いたします。

イベント概要:

収穫体験: 農園内で新鮮な野菜や果物を収穫する体験ができます。収穫したものはお持ち帰りいただけます。雨天の場合、本イベントは中止となることがありますので、ご了承願います。

料理教室: 地元のシェフが、収穫した食材を使った料理の作り方を教えます。特製レシピをお持ち帰りいただける機会もございます。

子供向けアクティビティ: 小さなお子様も楽しめるよう、さまざまなアクティビティをご用意しております。バルーンアートやフェイスペイントなどがあり、家族皆様で楽しめる内容となっております。

飲食ブース: 地元の特産品を使った料理や飲み物を販売するブースがございます。ご家族やご友人と一緒にご利用いただけます。

注意事項:

駐車場には限りがございますので、できるだけ公共交通機関をご利用ください。

農園内では、収穫体験の際、動きやすい服装と靴でお越しください。虫除け対策もお忘れなくお願いします。

当日は、多くの来場者が予想されます。受付での混雑を避けるため、事前にオンラインでの参加登録をお願いしております。

特定のイベントが中止となった場合、事前にご連絡いたしますが、天候によっては変更となる場合がありますので、ご了承ください。

イベント終了後、忘れ物が多く発生しております。貴重品の管理には十分ご注意ください。

皆様のご参加を心よりお待ちしております。素晴らしい秋の一日を一緒に過ごしましょう。

お問い合わせ先:
田中農園 事務局
電話: 0123-456-789
メール: info@tanakafarm.jp",N/A,"- 異なる3箇所について、妥当な指摘をできている：5点
- 異なる2箇所について、妥当な指摘をできている：4点
- 異なる1箇所について、妥当な指摘をできている：3点
- 指摘は妥当ではないが、指示には従って何かしらの示唆を出している場合：2点
- 上記以外：1点"
15,japanese,"以下の文章は難解です。これを、12歳の子供でもわかる言葉だけを使った文章に書き直してください。

現代の経済におけるグローバル化により、国家間の貿易関係は複雑かつ多層的なネットワークを形成しており、その相互依存性は国家の経済政策および外交戦略に重要な役割を果たすようになった。これにより、一国の経済状況が他国に及ぼす影響はますます顕著となり、経済危機や政治的不安定性がグローバルなスケールで波及する可能性が高まっている。",今の時代の経済は世界を巻き込むようになったので、国どうしの品物やサービスのやりとりは複雑で重なり合ったネットワーク（網目のようなつながり）を形成しています。このつながりを通して国どうしが影響を与えあっていて、国々の経済政策や外交戦略を考えるのに重要な役割を果たすようになりました。これによって、一つの国の経済の状況が他の国に与える影響がますます大きくなっており、経済が危なくなったり、政治が不安定になると、その影響が世界中にも広がってしまう可能性が高くなっています。,"- 回答の内容が原文の内容と全く異なる場合：1点
- 回答の内容が原文の内容と概ね一致している場合：ベースを5点として、以下の箇所ごとに1点ずつ減点して下さい
  - 原文の内容と意味が異なっている場所、原文の内容が省略されている箇所：1箇所につき0.5点減点
  - 12歳の子供には難解と思われる表現：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき1点減点"
16,japanese,"(1)「怖い」と「恐ろしい」のニュアンスの違いを説明してください。
(2) 上記を踏まえて、以下(a)(b)それぞれの文章中のカッコに「怖い」と「恐ろしい」のどちらがより当てはまるかを回答してください。
    (a) こちらのビッグトルネードマウンテンは、スタートから5秒で最高速度250km/hにまで達する、大変（　　　）ジェットコースターとなります。
    (b) 患者さんに優しい治療を当院はモットーとしています。もし治療中に（　　　）と感じられた場合は、遠慮なく手元のボタンを押してください。
","(1) 「怖い」は、主に個人の感情や感覚を表す言葉で、具体的な危険や恐怖を感じる状況を指します。例えば、暗闇が怖い、映画が怖いなど、主観的な恐怖を表現するのに使われます。

一方、「恐ろしい」は、より強い恐怖や驚きを表す言葉で、客観的な危険や脅威を指すことが多いです。また、尊敬や畏怖の意味合いも含むことがあります。例えば、恐ろしい速さ、恐ろしい力など、物事の規模や強度を強調するのに使われます。

(2)
(a) **恐ろしい**

この文脈では、ジェットコースターの速さや強度を強調するために、「恐ろしい」が適切です。

(b) **怖い**

この文脈では、患者の主観的な感情、つまり恐怖感を表すために、「怖い」が適切です。","- (1) は、回答内容に応じて0〜3点で評価してください。
- (2)(a) は0点または1点で評価してください。
- (2)(b) は0点または1点で評価してください。
- 最後に全ての点数を合計してください。"
17,japanese,"以下の文章は、喫茶店に対するAさんとBさんのレビューです。これらの意味に違いがあるか、違いがある場合はどのような違いがあるかを教えてください。
また、AさんとBさんどちらの方が再び来店する可能性が高いと思いますか？

Aさん「駅近にあるカフェ。ケーキが美味しかったです。」
Bさん「駅近にあるカフェ。ケーキは美味しかったです。」",N/A,"- レビューの意味の違いの指摘：0〜3点で評価してください
- 再び来店する可能性が高い客の指摘：正解ならば2点、不正解ならば0点
- 最後に全ての点数を合計してください。"
18,japanese,"次の文章中の空欄に最も適切な言葉を、下の選択肢の中から選びなさい。
「彼は一生懸命勉強した。_____、試験に合格することができた。」

ア. しかし
イ. だから
ウ. それでも
エ. けれども",イ. だから,"- 正解の場合：5点
- 不正解であるが、問題文を踏まえて何かしらの回答を行っている場合：2点
- 問題文と無関係な回答である場合：1点"
19,japanese,"以下の文章を敬語にしてください。ビジネスの場を想定して、適切な敬語表現にしてください。

1. わかりました。明日14時に行き、説明します。
2. 利用している端末のキャッシュを削除してもらえますか。
3. 課長が言った通り、先方の部長はアイスコーヒーを飲みました。","1. かしこまりました。明日14時にお伺いし、ご説明いたします。
2. ご利用の端末のキャッシュを削除していただけますでしょうか。
3. 課長がおっしゃった通り、先方の部長はアイスコーヒーをお飲みになりました。","- 問題文と無関係な回答の場合：1点
- 問題文の意図に沿っている回答の場合：ベースラインを5点として、以下の箇所ごとに1点減点してください。
  - 二重敬語：1箇所につき1点減点
  - 敬語になっていない箇所：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき1点減点"
20,writing,"以下の【製品・サービスの説明文】を、その製品/サービスについて無知なお客様にも理解しやすいような言い回しで、うまく案内する文章に変換してください。また、お客様を気遣うような、付加情報を足して、よりお客様の満足を獲得してください。出力は日本語かつ案内文のみでお願いします。

【製品・サービスの説明文】
CloudCore Storage Serviceは、優れたスケーラビリティ、データ可用性、セキュリティ、パフォーマンスを提供するオブジェクトストレージサービスです。あらゆる規模や業種のお客様が、データレイク、クラウドネイティブアプリケーション、モバイルアプリケーションなど、様々なユースケースで、大量のデータを保存、保護することができます。コスト効率の良いストレージクラスと直感的な管理機能により、コストの最適化、データの整理、特定のビジネス、組織、コンプライアンスの要件に対応する細かいアクセス制御の設定が可能です。",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 問題文と関係はしているが、内容が大きく誤っている場合：2点
  - 回答の方向性が正しい場合：4点
  - 回答の方向性が正しく、さらにお客様を気遣うような要素がある場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 製品/サービスについて無知なお客様にとって理解が困難と思われる表現：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
21,writing,"```
Question: ネットストアでの返品方法を教えていただけますか？
Answer: まず、当社カスタマーサポートまでご連絡いただき、返品を希望する旨をお伝えください。連絡先は当社ウェブサイトの「お問い合わせ」ページからご確認いただけます。次にカスタマーサポートから返品番号を取得してください。この番号は、返品手続きの際に必要となります。返品する商品には、返品番号とお客様の情報（名前、住所、電話番号）を記入した返品用の伝票を同梱してください。返品用の伝票を同梱した返品商品を、当社指定の住所まで発送してください。返品の送料は、商品の状態や返品理由により異なります。当社で返品商品を受け取り、商品の状態を確認します。商品が元の状態であることを確認できた場合、返金または交換の手続きを行います。返金の場合は、お客様がご利用された支払い方法により返金されます。交換の場合は、新しい商品をお客様へ発送いたします。商品の状態が悪い場合は、返金や交換ができない場合がございます。ご了承ください。
```
このFAQの文体を直して欲しいです。以下に、既存のFAQの一例を載せますので、それと同じような文体に書き直してください。

```
Question: 【ネットストア】注文履歴を確認する方法は？
Answer: 注文履歴を確認する方法についてですね。以下の手順で確認が可能です。
ステップ1. ネットストアの会員ページへのログインを行います。
　　⚠️ログインの手順はこちらをご確認ください

ステップ2. ログイン後、画面上部に表示されている「注文履歴」をクリックします。
　　⚠️「注文履歴」が表示されていない場合、ログインに失敗しています
　　⚠️画面サイズによっては「注文履歴」の表示が省略されている場合があります。その場合、三点リーダをクリックすると「注文履歴」が表示されます

ステップ3. 注文履歴一覧が表示されますので、確認したい注文の詳細をクリックします。
　　⚠️注文履歴の保存期間は1年間となります。1年以上前の注文履歴は表示されません

タグ：#ネットストア #注文履歴
```",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 問題文と関係はしているが、内容が大きく誤っている場合：2点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 既存のFAQとのフォーマットの不一致：1指摘につき1点減点
  - 正しさが保証されない内容の案内：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
22,writing,電子レンジの製品マニュアルの「基本の使い方」のセクションを書いてください,N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 網羅性の明らかな欠如：1要素につき1点減点
  - 誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
23,writing,"以下キャンペーンの内容から、お客様視点で「迷いそうなこと」「困りそうなこと」「クレームになりそうなこと」などを想像し、FAQを生成してください。QとAのペアを10組作成してください。

（キャンペーン内容）
本キャンペーンでは、対象商品を購入し、レシートをスマートフォンで撮影して応募すると、オリジナルグッズが当たるチャンスがあります。対象商品を400円（税込）以上購入すると、レシート1枚につき1口の応募が可能です。

対象商品
・ストロングワン
・ストロングワン ラベルレス
※店舗によってはお取り扱いがない場合がございます
応募方法
まず、対象商品を400円（税込）以上購入してください。購入後、レシートをスマートフォンで撮影してください。撮影したレシート画像を添付し、当キャンペーンの公式Twitterアカウント（@campaign_XYZ）にリプライして応募してください。
このキャンペーンの対象期間は、2024年8月1日〜2024年8月31日日没時までとなります。期間内に購入したレシートのみが応募対象となりますので、ご注意ください。
当選者は、キャンペーン終了後、厳正なる抽選を行い選出いたします。当選者には、Twitterのダイレクトメッセージにてご連絡いたしますので、公式アカウントのフォローをお願いいたします。

注意事項
・本キャンペーンは、日本在住の方のみが対象となります。
・レシートは、購入店舗名・日付・対象商品名・金額が明確に記載されているものに限ります。
・応募は、1人1日1回までとなります。
・当選は、ご本人のみ有効となり、譲渡・換金はできません。
・当社は、本キャンペーンに関連して生じたいかなる損害に対しても、一切の責任を負いません。

個人情報の取り扱い
ご応募いただいた際に提供いただいた個人情報は、当選者への連絡およびキャンペーンに関する連絡のみに使用し、他の目的には使用いたしません。",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 問題文と関係はしているが、内容が大きく誤っている場合：2点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 既存のFAQとのフォーマットの不一致：1指摘につき1点減点
  - Q&A内容の重複、件数不足：1項目につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
24,writing,自動車保険の約款を作成しようとしています。目次の案を書いてください。,N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 網羅性の明らかな欠如：1要素につき1点減点
  - 誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
25,writing,"あなたはカスタマーサポートの文章作成者です。以下の「返信文の概要や要点」を、カスタマーサポートの返信文として適切な形にして出力してください。出力は返信文の内容だけにしてください。

「返信文の概要や要点」
締切後の注文変更　今週だけ特別OK　ただしキャンセルのみ　明日12時まで",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 内容の欠如：1要素につき1点減点
  - 丁寧さの欠如：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
26,writing,"コールセンターで使用する想定のトークスクリプトを作ってください。以下の要件でお願いします。

# 状況
注文した商品が届かない場合のトラブルシューティング

# 仕様
- 最初の挨拶から問題解決まで、オペレータが発話すべき内容が記載されている
- お客様の状況に応じてシナリオが分岐する
- 様々な想定ケースが網羅的に尽くされている",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 網羅性の明らかな欠如：1要素につき0.5点減点
  - 丁寧さの欠如：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
27,writing,"# ユーザの困りごと
隣の家の住人のゴミ捨てマナーが悪い

# 問題
上記の困りごとを抱えているユーザが、市役所のサポートチャットボットに対して入力しそうなクエリーを10通り列挙してみてください。AIの学習データに用いるため、多様な語句・多様な長さのクエリーが欲しいです。",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 多様性の欠如（同一の表現が繰り返し現れる）：その程度に応じて1〜2点減点
  - 題意にそぐわないクエリー：1つにつき1点減点"
28,writing,"* 2月1日18時〜2月2日4時までオンラインプレイが不可
* 原因はエンジニアの田中が酔った勢いで社内サーバールームのコンセントを誤って抜いてしまったこと
* 夜を徹しての緊急対応が行われ、3時にサーバー再起動、4時にサービス復旧
* 影響ユーザー数は22万人
* 補填としてガチャチケット3枚を全ユーザーに

以上のサービス不具合に対する謝罪文書をホームページ上に掲載したいです。ドラフトを書いてください。ただし、会社のイメージが下がらないような文書にしてください。",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 回答の方向性が正しい場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 丁寧さの欠如：1箇所につき1点減点
  - 会社のイメージを不当に下げてしまう表現：1箇所につき1点減点
  - その他の誤字・脱字・不自然な日本語：1箇所につき0.5点減点"
29,writing,"お客様「こんにちは。ビタミンB12サプリ定期お届けコースの解約をお願いしたいのですが。」
オペレータ「こんにちは、ご連絡いただきありがとうございます。お客様はビタミンB12サプリ定期お届けコースをご利用中で、次回お届け予定は来月の28日ですね。こちら、解約をご希望とのことですが、差し支えなければ、解約の理由をお聞かせいただけますか？」
お客様「最近全然飲んでなくて、余ってしまってしょうがなくて。」

以上はコールセンターでのお客様とオペレータの対話ログです。この次にオペレータがお客様に返すべき言葉を考えてください。ただし、オペレータとしてはできるだけ解約を阻止したいです。顧客満足を損ねず、かつ阻止の可能性を最大化できるような返答を1パターン考えてください。
※ 当該サービスの仕様に関して、上記で言及されていない何らかの（ありそうな）仮定をおいても構いません。
",N/A,"- ベース得点を以下で定めます
  - 問題文と無関係な回答の場合：1点
  - 問題文と関係はしているが、内容が大きく誤っている場合：2点
  - 回答の方向性が正しい場合：4点
  - 回答の方向性が正しく、さらに顧客満足を損ねず解約阻止に効果的な回答をできている場合：5点

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 誤字・脱字・不自然な日本語：1箇所につき1点減点"
30,business,困りごとを抱える顧客と企業の接点となるサポートチャネルは、かつては電話対応のコールセンターが主流でしたが、現在ではもっと多様になりました。どのようなサポートチャネルがあるかを列挙し、それぞれのチャネルのメリットとデメリットを説明してください。また、顧客サポートのオムニチャネル化について、マルチチャネル化との違いがわかるように説明してください。,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
31,business,カスタマーサクセスとはどのような概念ですか？カスタマーサポートとの違いを含めて答えてください。,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
32,business,カスタマーサポートは離職率が高いと言われています。どのような原因で離職しがちであるか、および、離職率を低下させるために有効な施策を列挙してください。,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
33,business,ナレッジマネジメントの実践方法の一つ、ナレッジセンターサービス (Knowledge Centered Service; KCS) について説明してください。,N/A,"- ベース得点を以下で定めます
  - 1点: 誤っている、 指示に従えていない
  - 2点: 誤っているが、方向性は合っている
  - 3点: 部分的に誤っている、 部分的に合っている
  - 4点: 合っている
  - 5点: 役に立つ

- ベース得点に以下の減点を加味したものを最終得点としてください
  - 「KCSではオペレータが問い合わせを受けるたびに必ずFAQを検索し、FAQが存在しない場合には即座にFAQの下書きをデータベースに登録する」という内容に触れられていない：2点減点"
34,business,電話自動応答システム (Interactive Voice Response; IVR) とはどのようなシステムですか？また、近年はSMSを用いてIVRを発展させたものがありますが、それはどのようなものですか？,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
35,business,"コールセンターの主要なKPIである以下の関係性を説明してください。
AHT (Average Handling Time), ATT (Average Talk Time), CPH (Call Per Hour)",N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
36,business,"コールセンターのオペレーターであるあなたは、埼玉県から伊豆大島への送料について顧客から問い合わせを受けました。あなたは、通話を保留状態にして、オペレータ用の情報検索システムで「送料 伊豆大島」と検索し、以下の情報を見つけました。

```
関東地方（島嶼部除く）からの送料は，配送先に応じて異なり、以下の通りとなります。
●関東地方
　●島嶼部以外……100円
　●三宅島，八丈島……500円
　●青ヶ島……600円
　●小笠原諸島……800円
●東北地方，北海道地方……200円
●中部地方，近畿地方……300円
●中国地方，四国地方，九州地方（沖縄県除く）……400円
●沖縄県……800円
```

さらに4, 5通りの検索ワードで検索を試しましたが、それ以上の情報は得られませんでした。
この時、あなたがとる対応として最も適切なものは以下のどれですか？また、選ばなかった選択肢について、不適切な点も指摘してください。

(A) 保留を解除し、「お待たせして申し訳ありませんが、私の知識源には見つかりませんでしたのでお答えできません」と顧客に伝える
(B) 保留を解除し、「お待たせいたしました。伊豆大島への送料は、おそらく500円と考えられます」と顧客に伝える
(C) 保留を解除し、「お待たせいたしました。伊豆大島への送料は、500円となります」と顧客に伝える
(D) 保留を解除し、「お待たせして申し訳ありません。お調べして、折り返しお電話をいたしますので、お客さまのお電話番号をいただけますか？」と顧客に伝える
(E) 通話を保留したまま、さらに4, 5通りの検索ワードでの検索を試みる","適切な選択肢は (D) です。それ以外の選択肢が不適切である理由を以下に述べます。

(A) 「お答えできません」と顧客からの質問に対して回答を放棄する返答です。顧客からの質問の内容に理不尽性は見られず、企業として正式に回答がなされるべき質問と考えられるため、回答の放棄は不適切です。加えて「私の知識源」という表現も顧客からすると違和感があります。
(B) 顧客からの質問に対して推測を交えて回答していますが、送料については推測ではなく正確な回答を提供すべきであり、不適切です。
(C) 顧客からの質問に対して回答していますが、情報検索システムから得られた情報からは、伊豆大島への送料が500円であるとは断定できません。そのため不正確な情報を提供している可能性があり、不適切です。
(E) 通話を保留状態にしてから既に4,5通りの検索ワードで検索をしており、さらに4,5通りの検索ワードでの検索を試みると、保留時間が非常に長くなってしまい、不適切です。仮に情報をさらに調べるべき状況であったとしても、一度保留を中断し、顧客に状況を伝えるべきと考えられます。","- 問題文と無関係な回答の場合：1点
- 問題文と関連した回答ではあるが、正解の選択肢(D)を選べていない場合：2点
- 正解の選択肢(D)を選べている場合：3点
- 正解の選択肢(D)を選べており、それ以外の選択肢についての不適切な点も一部正しく指摘できている場合：4点
- 正解の選択肢(D)を選べており、それ以外の選択肢についての不適切な点も全て正しく指摘できている場合：5点"
37,business,FAQサイトのユーザー体験の良さを測る指標としては、どのようなものが考えられますか？FAQサイトを運用・改善していくために特に有益となる指標を、3つ挙げてください。,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
38,business,コンタクトセンターに集まる顧客の声から、自社製品に対する具体的な不満や要望を拾い集めたいです。現状は、VOC活用グループの専任スタッフ10名が毎日8時間かけてその日の全てのコールログを耳で聴き、不満や要望があればそれを一つずつメモしていき、その内容をまとめたものを月次の定例で発表しています。しかし、業務負荷があまりに高く、専任スタッフ10名のうち9名が今月でやめてしまいます。今後、この活動を継続するために何ができるかを考えてください。,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
39,business,コールセンターの電話口で2時間も不満を捲し立て続ける顧客がいます。強制的に受話器を置くと、またすぐに電話がかかってきて「話の途中で電話を切るな！」と怒りをあらわにします。オペレーターであるあなたは、どのように対応すべきですか？,N/A,"- 1点: 誤っている、 指示に従えていない
- 2点: 誤っているが、方向性は合っている
- 3点: 部分的に誤っている、 部分的に合っている
- 4点: 合っている
- 5点: 役に立つ"
